Município de ocorrência;Total
352340 Itatiba;7
352390 Itu;4
352400 Itupeva;44
352430 Jaboticabal;2
352450 Jaci;2
352470 Jaguariúna;6
352510 Jardinópolis;20
352520 Jarinu;16
352530 Jaú;1
352550 Joanópolis;1
352570 José Bonifácio;2
352590 Jundiaí;1299
352730 Louveira;9
352760 Luís Antônio;1
352810 Macaubal;1
352830 Magda;1
352850 Mairiporã;2
352920 Martinópolis;1
352940 Mauá;57
352950 Mendonça;2
353030 Mirassol;19
353040 Mirassolândia;8
353060 Mogi das Cruzes;1
353130 Monte Alto;2
353140 Monte Aprazível;5
353180 Monte Mor;4
353200 Morungaba;6
353250 Neves Paulista;2
353260 Nhandeara;1
353270 Nipoã;3
353280 Nova Aliança;3
353300 Nova Granada;12
353340 Nova Odessa;1
353350 Novo Horizonte;1
353390 Olímpia;4
353400 Onda Verde;5
353420 Orindiúva;2
353440 Osasco;1
353500 Palestina;4
353650 Paulínia;10
353660 Paulo de Faria;1
353930 Pirassununga;1
353950 Pitangueiras;1
353990 Poloni;1
354020 Pontal;6
354030 Pontes Gestal;1
354060 Porto Feliz;2
354080 Potirendaba;8
354090 Pradópolis;2
354330 Ribeirão Pires;3
354340 Ribeirão Preto;591
354410 Rio Grande da Serra;1
354420 Riolândia;1
354425 Rosana;1
354515 Saltinho;1
354580 Santa Bárbara d'Oeste;1
354630 Santa Cruz das Palmeiras;1
354660 Santa Fé do Sul;1
354750 Santa Rita do Passa Quatro;1
354760 Santa Rosa de Viterbo;5
354780 Santo André;2236
354790 Santo Antônio da Alegria;2
354800 Santo Antônio de Posse;1
354850 Santos;1
354870 São Bernardo do Campo;93
354880 São Caetano do Sul;11
354890 São Carlos;2
354980 São José do Rio Preto;1147
355030 São Paulo;262
355070 São Sebastião;1
355090 São Simão;5
355100 São Vicente;2
355150 Serrana;14
355170 Sertãozinho;1
355190 Severínia;1
355220 Sorocaba;2
355240 Sumaré;11
355250 Suzano;4
355340 Tanabi;5
355410 Taubaté;1
355560 Uchoa;5
355570 União Paulista;1
355620 Valinhos;7
355650 Várzea Paulista;95
355670 Vinhedo;9
355700 Votorantim;1
355710 Votuporanga;3
410030 Agudos do Sul;1
410040 Almirante Tamandaré;48
410180 Araucária;13
410400 Campina Grande do Sul;5
410420 Campo Largo;10
410425 Campo Magro;10
410580 Colombo;60
410620 Contenda;1
410690 Curitiba;1338
410700 Curiúva;1
410765 Fazenda Rio Grande;10
410850 General Carneiro;1
410940 Guarapuava;1
411125 Itaperuçu;8
411320 Lapa;3
411430 Mandirituba;4
411570 Matinhos;4
411580 Medianeira;1
411610 Moreira Sales;1
411620 Morretes;1
411915 Pinhais;61
411950 Piraquara;33
411990 Ponta Grossa;1
411995 Pontal do Paraná;2
412080 Quatro Barras;2
412120 Quitandinha;1
412220 Rio Branco do Sul;4
412340 Santa Fé;1
412550 São José dos Pinhais;47
412560 São Mateus do Sul;2
412600 São Sebastião da Amoreira;1
412620 Sapopema;1
412760 Tijucas do Sul;2
420060 Águas Mornas;1
420120 Antônio Carlos;1
420140 Araranguá;1
420200 Balneário Camboriú;3
421280 Balneário Piçarras;1
420208 Bandeirante;1
420210 Barra Velha;1
420230 Biguaçu;10
420240 Blumenau;2
420250 Bom Jardim da Serra;1
420280 Braço do Norte;1
420320 Camboriú;1
420370 Canelinha;1
420460 Criciúma;1
420540 Florianópolis;1796
420545 Forquilhinha;1
420570 Garopaba;3
420600 Governador Celso Ramos;2
420630 Guabiruba;1
420730 Imbituba;1
420790 Irineópolis;1
420820 Itajaí;1
420845 Itapoá;1
420890 Jaraguá do Sul;2
420910 Joinville;2
420920 Lacerdópolis;1
420930 Lages;1
420940 Laguna;1
421020 Major Gercino;1
421085 Mirim Doce;1
421150 Nova Trento;1
421190 Palhoça;21
421230 Paulo Lopes;3
421290 Pinhalzinho;1
421350 Porto Belo;1
421400 Presidente Getúlio;1
421480 Rio do Sul;1
421530 Salete;1
421565 Santa Rosa do Sul;1
421570 Santo Amaro da Imperatriz;7
421660 São José;44
421740 Schroeder;1
421770 Sombrio;1
421780 Taió;1
421800 Tijucas;4
421860 Trombudo Central;1
421930 Videira;2
421935 Vitor Meireles;1
421970 Xaxim;1
430060 Alvorada;129
430063 Amaral Ferrador;1
430110 Arroio dos Ratos;2
430175 Barão do Triunfo;2
430190 Barra do Ribeiro;3
430270 Butiá;3
430310 Cachoeirinha;31
430460 Canoas;29
430463 Capão da Canoa;1
430467 Capivari do Sul;1
430510 Caxias do Sul;1
430517 Cerro Grande do Sul;2
430535 Charqueadas;4
430545 Cidreira;1
430640 Dois Irmãos;1
430676 Eldorado do Sul;8
430680 Encantado;1
430692 Engenho Velho;1
430760 Estância Velha;1
430770 Esteio;1
430905 Glorinha;1
430920 Gravataí;30
430930 Guaíba;9
431033 Imbé;2
431065 Itati;1
431162 Lindolfo Collor;1
431173 Mampituba;1
431198 Mariana Pimentel;1
431225 Minas do Leão;5
431337 Nova Santa Rita;2
431340 Novo Hamburgo;3
431365 Palmares do Sul;1
431445 Pinhal;1
431490 Porto Alegre;1449
431514 Presidente Lucena;1
431600 Rolante;1
431760 Santo Antônio da Patrulha;2
431840 São Jerônimo;1
431870 São Leopoldo;4
431950 São Sebastião do Caí;1
431990 Sapiranga;2
432000 Sapucaia do Sul;2
432055 Sertão Santana;2
432085 Tabaí;1
432110 Tapes;3
432120 Taquara;1
432150 Torres;1
432160 Tramandaí;1
432166 Três Cachoeiras;1
432200 Triunfo;2
432250 Vacaria;1
432300 Viamão;145
500020 Água Clara;1
500025 Alcinópolis;2
500100 Aparecida do Taboado;1
500110 Aquidauana;1
500150 Bandeirantes;1
500210 Bela Vista;3
500220 Bonito;1
500230 Brasilândia;1
500260 Camapuã;3
500270 Campo Grande;1871
500295 Chapadão do Sul;3
500310 Corguinho;1
500320 Corumbá;1
500325 Costa Rica;1
500330 Coxim;1
500490 Jaraguari;4
500500 Jardim;2
500540 Maracaju;1
500560 Miranda;2
500580 Nioaque;1
500600 Nova Alvorada do Sul;1
500710 Ribas do Rio Pardo;4
500730 Rio Negro;4
500740 Rio Verde de Mato Grosso;3
500750 Rochedo;7
500769 São Gabriel do Oeste;4
500790 Sidrolândia;5
500793 Sonora;1
500800 Terenos;12
510010 Acorizal;4
510025 Alta Floresta;1
510190 Brasnorte;1
510267 Campo Verde;1
510300 Chapada dos Guimarães;11
510305 Cláudia;1
510335 Confresa;2
510340 Cuiabá;587
510410 Guarantã do Norte;1
510490 Jangada;1
510510 Juara;1
510515 Juína;1
510525 Lucas do Rio Verde;1
510610 Nossa Senhora do Livramento;1
510620 Nova Brasilândia;1
510623 Nova Olímpia;1
510645 Planalto da Serra;1
510665 Pontal do Araguaia;1
510704 Primavera do Leste;1
510718 Ribeirão Cascalheira;1
510720 Rio Branco;1
510780 Santo Antônio do Leverger;10
510787 Sapezal;1
510840 Várzea Grande;47
510550 Vila Bela da Santíssima Trindade;1
520005 Abadia de Goiás;9
520025 Águas Lindas de Goiás;35
520030 Alexânia;2
520085 Americano do Brasil;1
520130 Anicuns;1
520140 Aparecida de Goiânia;72
520160 Araçu;1
520180 Aragoiânia;1
520260 Aurilândia;2
520280 Avelinópolis;1
520310 Baliza;2
520330 Bela Vista de Goiás;3
520355 Bonfinópolis;1
520390 Buriti Alegre;1
520400 Cabeceiras;2
520410 Cachoeira Alta;1
520440 Caiapônia;1
520490 Campos Belos;2
520510 Catalão;2
520520 Caturaí;3
520549 Cidade Ocidental;9
520551 Cocalzinho de Goiás;6
520570 Córrego do Ouro;1
520580 Corumbá de Goiás;1
520620 Cristalina;4
520650 Cromínia;1
520735 Edealina;1
520740 Edéia;3
520790 Flores de Goiás;4
520800 Formosa;7
520860 Goianésia;1
520870 Goiânia;861
520880 Goianira;3
520890 Goiás;54
520910 Goiatuba;1
520920 Guapó;7
520929 Guaraíta;1
520960 Heitoraí;1
520970 Hidrolândia;2
521000 Inhumas;3
521020 Iporá;1
521040 Itaberaí;5
521060 Itaguaru;1
521100 Itapirapuã;1
521140 Itauçu;1
521170 Jandaia;1
521190 Jataí;3
521250 Luziânia;16
521308 Minaçu;1
521370 Montes Claros de Goiás;1
521380 Morrinhos;4
521400 Mozarlândia;1
521450 Nerópolis;1
521460 Niquelândia;1
521483 Nova Crixás;1
521500 Nova Veneza;4
521523 Novo Gama;7
521560 Padre Bernardo;3
521565 Palestina de Goiás;2
521590 Palminópolis;1
521720 Piranhas;1
521740 Pires do Rio;3
521760 Planaltina;5
521770 Pontalina;2
521800 Porangatu;1
521900 Sanclerlândia;1
521910 Santa Bárbara de Goiás;2
521973 Santo Antônio de Goiás;3
521975 Santo Antônio do Descoberto;5
522000 São João d'Aliança;1
522010 São Luís de Montes Belos;2
522045 Senador Canedo;9
522140 Trindade;13
522150 Turvânia;1
522160 Uruaçu;1
522180 Urutaí;1
522185 Valparaíso de Goiás;8
522190 Varjão;4
522205 Vicentinópolis;1
522220 Vila Boa;1
530010 Brasília;1626
000000 Ignorado ou exterior;297
Total;60459
